make,model,version,price,fuel,year,kms,shift,is_professional,dealer,province,publish_date,insert_date
38,191,1985,322,5,37,1301,2,1,2473,7,3111,23
37,327,1807,481,2,36,278,1,1,806,38,2882,44
5,562,473,1067,1,36,1350,1,1,68,43,214,19
3,56,108,860,1,40,215,1,1,2681,2,1970,11
39,28,2237,231,1,30,1701,2,1,989,0,2040,18
5,474,410,837,1,37,1249,1,1,1359,4,3139,25
38,582,2077,485,5,37,1004,2,1,2186,0,1480,7
39,10,2101,449,5,37,686,1,1,2325,38,4254,41
5,468,325,254,5,29,1326,2,1,1962,2,4068,44
5,474,409,82,1,22,1956,2,0,549,38,1501,0
36,227,1759,120,5,16,1784,2,0,1872,4,198,2
37,417,1855,714,5,40,1,1,1,2792,44,2184,14
5,559,453,973,1,38,738,1,1,1525,44,4011,58
18,122,1076,473,1,35,1445,2,0,74,38,91,14
38,191,1956,118,1,27,1430,2,0,328,29,626,6
5,469,337,853,5,39,410,2,0,1420,44,1147,13
55,534,3403,388,1,35,1482,2,1,1147,2,4884,62
1,494,38,1025,1,40,110,1,1,2894,35,2823,17
5,476,431,121,5,17,1942,2,0,469,5,2087,13
45,84,2670,652,5,39,452,2,1,2108,2,3423,31
33,158,1578,196,1,25,1866,1,0,1310,15,4755,53
38,191,1955,77,5,15,1784,2,0,1804,1,3058,42
20,296,1115,727,7,39,641,1,1,927,29,3984,57
18,149,1070,196,5,26,1712,2,0,249,25,3033,37
45,299,2735,20,1,21,1964,2,0,1831,30,1304,57
32,126,1428,631,1,34,863,1,1,974,7,2240,13
45,299,2713,81,5,26,1489,2,0,1329,44,1888,41
33,151,1499,177,1,27,1708,2,1,2791,29,2410,19
41,466,2373,29,1,22,1867,2,0,599,29,3294,60
3,57,146,193,1,22,1935,2,1,2503,46,2234,23
16,362,1021,779,1,38,479,1,1,1126,40,4047,38
0,38,10,787,5,38,0,2,1,2859,48,4880,61
3,450,298,421,5,27,1790,1,1,2342,29,2347,30
33,15,1461,104,1,19,2066,2,0,602,21,3732,34
30,260,1391,881,6,38,44,1,1,2728,46,4084,37
5,562,472,1088,5,36,1350,1,1,1463,30,2045,7
55,564,3430,1032,1,39,687,1,1,959,29,4179,50
39,14,2159,305,5,36,540,2,0,1480,12,134,9
54,514,3327,812,1,38,964,2,1,1018,29,1356,55
37,356,1811,114,5,30,1350,2,0,501,32,1487,6
29,434,1347,755,1,28,1445,1,1,2047,7,1004,0
16,243,898,210,5,34,1176,2,0,392,7,2335,24
54,272,3139,895,5,39,617,1,1,2204,27,4560,60
40,510,2372,1145,2,40,183,1,1,780,29,1233,9
5,472,383,177,5,15,1992,2,0,328,33,506,16
32,351,1440,731,1,39,233,2,1,1337,29,1303,12
38,83,1923,452,1,36,1201,2,1,1338,7,1490,11
30,297,1392,676,6,36,801,1,0,239,29,4513,47
41,175,2392,148,1,31,1623,2,0,1647,44,717,22
3,57,167,473,1,35,1864,2,1,1087,16,4404,55
16,247,945,65,1,25,1741,2,0,126,38,1206,1
38,302,2033,402,1,36,991,2,1,845,27,2994,39
5,472,368,1000,1,40,301,1,1,1358,29,1944,21
54,198,3065,363,1,34,1477,2,0,95,18,1025,27
54,518,3337,962,1,37,1209,1,1,2897,29,3092,21
5,561,314,391,5,26,1859,2,0,803,31,3812,54
5,469,336,598,1,35,876,2,1,2206,25,4387,50
3,56,70,522,1,37,1410,2,1,2106,38,2306,27
37,303,1785,321,5,35,777,1,0,38,16,137,20
39,11,2129,54,5,20,483,2,0,1440,29,4543,60
54,272,3102,751,5,40,128,1,1,2524,9,4344,54
41,175,2403,336,3,39,377,2,1,1525,7,3117,46
8,110,599,421,1,37,801,2,1,1494,7,2748,20
8,106,561,554,1,39,129,2,1,2519,48,3149,27
53,188,2981,615,6,39,489,1,1,2787,30,3642,35
33,172,1674,1014,1,36,1299,1,1,1541,7,1676,21
5,472,364,100,1,21,2017,2,0,1642,18,4784,59
3,415,282,1082,7,38,635,1,1,2706,5,1837,22
41,370,2570,484,1,36,939,1,1,1023,38,4449,47
5,474,410,302,1,26,1875,2,0,501,10,2015,35
18,122,1077,177,1,28,2041,2,0,317,10,163,20
5,472,362,244,1,29,1922,2,1,2002,31,3366,39
5,472,358,906,1,39,347,1,1,1505,29,3146,41
54,392,3219,978,7,39,145,1,1,2888,0,3459,52
8,114,643,214,1,31,1690,2,0,673,7,1070,23
47,592,2872,297,5,36,435,1,0,260,7,1729,1
53,333,2996,706,1,25,2100,2,0,62,29,283,13
46,381,2833,77,1,23,1785,2,0,766,6,2809,22
41,370,2572,588,1,38,570,2,1,2591,44,2107,11
39,26,2093,45,1,24,1965,2,0,17,32,669,55
38,302,1890,185,1,30,1820,2,0,454,12,371,29
3,54,46,452,5,36,481,2,1,2711,7,4596,50
39,22,2188,1018,7,40,112,1,1,2025,0,2654,26
39,14,2170,679,1,41,0,2,1,2497,47,4273,63
5,468,318,248,1,30,1781,2,0,1815,29,2954,35
39,30,2247,15,1,20,60,2,0,745,7,3136,22
5,472,362,580,1,37,1112,2,1,1391,7,485,13
41,370,2575,14,5,20,1883,2,0,469,38,1045,19
16,247,925,295,1,35,1564,2,1,2815,2,3540,32
29,436,1369,312,1,26,1892,1,0,428,30,570,31
45,299,2732,177,1,29,1717,2,1,2643,7,2581,31
41,331,2507,283,1,34,1545,2,0,360,30,3796,52
39,37,2261,858,5,40,5,1,1,2025,0,2211,17
20,506,1132,790,6,40,9,2,1,2718,38,2357,12
33,158,1594,989,1,39,116,1,1,2359,38,4357,47
2,204,39,993,5,27,885,1,0,1700,29,3900,35
25,442,1246,535,1,36,1688,2,1,2794,10,4743,55
39,95,2314,448,1,34,1724,2,1,2227,38,2900,30
39,10,2105,516,1,38,747,2,1,2744,0,2575,13
8,105,577,469,5,40,1,2,1,1746,27,3182,31
50,500,2921,177,1,31,1591,2,1,842,2,2253,14
39,391,2329,487,1,40,14,2,1,2409,29,2497,12
39,32,2255,23,1,24,2089,2,0,1341,2,448,1
33,150,1478,860,5,40,212,1,1,2360,14,3898,34
36,66,1749,485,5,37,708,2,1,2059,9,3142,50
36,66,1749,555,5,39,410,2,1,997,38,3683,53
41,347,2373,177,1,25,432,2,0,774,44,1593,42
31,275,1410,1088,5,33,974,1,0,530,22,514,42
33,255,1677,837,5,39,262,2,1,1270,12,2478,13
45,235,2689,260,1,30,1701,2,1,868,48,4891,59
16,243,909,126,5,28,1621,2,0,185,29,1115,11
26,404,1274,132,5,31,1393,2,0,770,17,136,1
26,492,1297,289,1,33,1808,2,1,1522,29,3556,38
3,503,305,588,5,28,1112,1,0,1418,19,2835,36
45,338,2775,439,1,34,1234,2,1,2380,29,4938,61
5,562,474,1023,1,35,1591,1,1,2810,29,2429,14
39,14,2162,289,1,36,934,2,1,1387,16,2893,32
37,417,1845,716,1,38,516,2,0,647,30,999,6
13,211,758,938,5,40,137,1,1,2516,44,4494,56
20,348,1105,50,1,24,1675,2,0,320,15,3815,56
25,279,1239,445,1,30,1583,1,0,1691,3,3293,55
8,105,582,231,5,32,369,2,1,2765,7,2763,19
15,36,769,326,5,38,617,2,1,1948,18,4606,50
16,247,949,70,5,26,1690,2,1,2220,48,1030,13
45,299,2717,8,5,18,1700,2,0,269,7,1016,2
53,86,2955,388,6,33,1047,1,1,2008,17,2793,55
41,285,2465,649,1,38,700,1,0,1770,29,252,12
8,109,516,59,5,27,1820,2,0,1786,45,2201,14
38,191,1987,559,1,40,9,2,1,2838,44,1702,10
8,92,537,555,1,38,1165,2,1,2753,35,3922,35
39,37,2258,516,1,36,1169,1,1,933,27,1653,7
33,256,1682,1065,1,40,14,1,1,2365,20,4474,56
3,60,217,650,1,35,1651,1,1,2781,36,4479,47
25,553,1251,358,5,16,1350,2,0,528,6,605,15
38,361,2054,543,3,38,702,2,1,2393,29,2812,21
3,56,87,730,1,37,1509,2,1,1859,16,3310,32
5,472,378,242,5,26,1727,1,1,2379,29,1346,22
16,247,911,105,5,26,1738,2,0,151,10,2487,62
39,49,2306,104,1,25,1904,2,0,1775,46,670,4
41,175,2434,459,5,39,360,2,1,2752,46,3051,26
8,112,637,457,1,37,747,2,0,259,7,3189,46
15,245,814,252,1,36,1053,2,1,2376,31,1643,5
29,250,1343,220,1,24,1701,2,1,1056,0,3271,30
45,299,2703,391,5,39,182,2,1,2671,30,3224,27
29,216,1331,132,1,3,2056,2,0,189,27,2914,27
41,370,2523,23,1,19,1623,2,0,125,26,1315,32
16,247,912,60,1,26,1912,2,0,447,46,1379,5
41,137,2386,405,5,36,631,2,1,889,44,3175,47
54,131,3049,260,1,36,1848,2,1,1199,5,3810,42
5,472,370,514,1,36,1667,1,1,2032,38,967,13
45,299,2697,267,5,36,826,2,1,2326,31,4618,57
8,92,532,294,1,37,959,2,1,2327,12,947,46
38,550,2075,610,1,38,1170,2,1,1390,29,654,2
33,152,1457,391,5,24,1600,2,0,72,29,2845,44
38,200,2004,502,5,37,565,2,1,1982,46,1898,58
5,558,448,900,5,39,507,1,1,943,48,1463,0
3,59,184,391,1,32,2089,1,1,905,44,606,61
12,307,743,244,1,30,1715,1,0,1755,29,446,26
50,90,2909,26,5,20,1843,2,0,565,29,211,3
15,36,771,230,5,37,747,2,0,219,40,3510,46
54,392,3222,578,1,37,1539,2,1,889,44,3176,45
39,28,2227,450,1,38,985,2,1,2123,29,2696,19
5,557,437,561,1,35,1646,1,1,1966,7,3000,63
39,31,2250,114,1,27,1607,2,0,477,7,3667,42
41,312,2480,671,5,39,383,2,1,2057,20,3800,34
30,297,1394,594,6,34,1250,1,1,2473,10,4307,49
3,57,147,817,1,36,532,1,1,1502,38,1071,33
20,460,1128,682,1,35,1199,1,1,2473,44,1243,1
54,528,3375,439,5,11,1350,2,0,1651,25,628,3
54,464,3283,383,1,29,1539,2,1,2604,35,2003,13
33,150,1457,160,1,28,1651,2,0,768,44,3029,46
39,28,2207,104,1,28,2071,2,0,655,23,1174,42
54,272,3108,701,1,39,287,2,1,890,29,1981,4
45,75,2657,136,1,27,1766,2,0,90,7,1000,54
16,243,908,126,1,30,1753,2,0,274,8,2548,29
54,519,3351,871,1,38,731,1,1,2880,29,4378,58
32,351,1446,837,5,39,226,2,1,2700,0,4906,63
41,370,2572,606,1,38,188,2,1,2860,34,2390,22
3,56,77,127,1,24,1882,2,0,138,7,284,23
45,235,2690,289,5,29,1422,2,1,2473,48,4869,60
55,566,3444,935,1,37,1555,1,1,2261,44,3447,35
3,54,55,763,5,40,79,2,1,941,7,4077,47
3,60,200,77,1,24,2023,1,0,1452,5,2645,23
33,158,1577,47,1,19,2090,1,0,596,8,2621,25
5,557,437,727,1,36,1152,1,1,1835,44,4757,54
54,138,3059,747,1,36,1408,2,1,2776,40,3503,31
46,148,2806,281,5,38,183,2,1,888,29,1621,56
41,523,2612,188,1,28,2103,2,0,76,29,1218,26
54,400,3247,241,1,32,1249,2,1,2624,29,4436,49
35,342,1739,244,5,27,1754,2,1,2849,29,2379,30
54,272,3134,938,7,40,450,1,1,2688,38,4386,50
33,163,1637,992,1,36,1319,1,1,965,7,2149,27
39,37,2264,421,1,36,1237,2,1,2473,29,4583,49
20,594,1169,260,1,33,1170,2,1,1493,29,1755,13
3,60,210,210,1,26,2001,1,0,1618,30,219,24
38,83,1936,196,1,30,1717,2,0,498,26,2615,18
39,41,2274,100,1,4,2101,2,0,1437,12,3899,37
16,243,903,284,1,37,779,2,1,1575,2,2284,13
5,472,363,391,1,27,1702,1,0,551,26,299,38
39,28,2234,860,5,40,224,2,1,2749,35,3192,37
8,575,713,103,1,28,1600,2,0,1422,30,4818,58
3,61,224,132,5,21,1651,1,0,477,7,4651,56
54,272,3068,165,1,19,1820,2,0,1661,47,4477,50
55,536,3410,673,1,37,1056,1,1,1979,44,418,5
14,29,760,1123,5,8,700,2,1,1519,29,3463,54
15,515,859,680,5,41,1,2,1,1025,45,4689,56
1,4,19,77,1,25,1864,2,0,315,17,2525,31
33,493,1693,453,1,34,1735,2,1,2015,44,3507,50
53,576,3033,267,1,33,1251,2,1,2886,29,3052,38
29,436,1375,1001,1,36,1297,2,1,925,0,1364,30
38,302,2028,427,1,37,1218,2,1,927,29,1475,1
37,555,1872,823,1,36,687,2,0,29,27,1224,57
54,464,3288,671,5,33,1017,1,1,1353,7,2262,13
54,341,3179,27,5,18,1911,2,0,477,29,2661,31
15,515,856,424,1,39,295,2,1,2796,10,2438,21
54,272,3081,39,5,19,1851,2,0,478,2,3820,59
5,474,423,1043,7,39,313,1,1,1001,24,4898,59
41,347,2518,195,1,26,2105,2,0,328,2,2093,14
35,342,1740,833,5,39,535,2,1,2172,2,2952,43
48,516,2894,405,1,35,1249,2,1,1261,12,1945,48
16,520,1049,100,1,30,2039,2,0,1434,29,4211,51
8,107,573,14,1,24,110,2,0,721,30,1020,4
55,563,3420,917,5,40,18,2,1,959,29,1610,10
29,435,1361,751,1,37,885,2,0,1914,31,1858,57
40,344,2365,1085,5,36,1294,1,1,2202,15,1680,1
41,331,2507,33,1,26,1881,2,0,777,38,1308,18
45,299,2725,470,1,39,445,2,1,366,7,3554,37
40,142,2354,1139,5,39,363,1,1,1561,35,1430,8
54,464,3287,462,5,30,1631,2,0,1302,29,2800,61
37,555,1880,195,1,23,1903,2,1,1587,28,760,19
33,162,1632,1005,5,37,812,1,0,570,44,3232,61
8,278,686,716,5,40,9,1,1,2702,48,2890,26
5,475,428,895,1,34,1579,1,1,2841,48,4189,45
49,572,2906,904,6,40,21,1,1,2016,8,537,54
8,105,557,50,5,25,1532,1,0,1695,2,509,40
53,334,2998,165,1,18,1869,2,0,438,7,1668,7
15,36,769,289,5,36,1111,2,1,2592,15,2056,23
38,543,2069,31,1,24,1799,2,0,605,7,296,27
3,59,195,690,1,34,1532,1,1,1863,36,2350,36
8,105,555,56,5,24,1477,2,0,469,18,3129,53
3,56,59,301,1,29,1170,2,0,288,14,3779,46
54,519,3361,570,1,37,1202,1,1,2630,7,4317,42
9,222,721,191,1,36,1753,2,1,2673,7,400,7
41,280,2450,457,1,20,1350,2,0,513,17,1716,21
46,381,2829,618,5,40,29,2,1,1012,27,2392,20
39,11,2126,114,5,21,1887,2,0,44,29,28,26
53,86,2945,432,6,37,1130,1,1,1574,29,1344,5
37,555,1889,566,1,35,786,1,1,2473,29,4817,61
8,277,672,100,1,28,2022,1,0,1766,35,1470,2
20,596,1182,487,5,35,899,2,1,2730,29,4776,56
38,70,1891,257,5,37,1221,2,1,1161,44,1006,15
37,555,1873,600,1,37,885,1,0,1474,46,486,19
8,109,516,87,1,27,1701,2,0,124,38,4364,62
41,175,2430,565,1,40,214,2,1,1548,36,2701,19
38,179,1951,319,1,35,836,2,1,1501,44,830,42
54,519,3355,583,1,36,1036,2,1,1145,8,4341,59
33,150,1496,916,5,39,124,2,1,2216,23,3071,33
5,557,443,376,1,30,1717,2,1,2829,44,686,55
8,113,640,687,1,40,0,2,1,2682,46,2111,17
33,120,1468,948,5,40,1,1,1,2741,44,2853,29
3,415,280,993,1,35,1227,1,1,1979,44,1449,1
3,59,179,821,1,37,1052,1,1,2134,29,387,17
13,211,755,849,1,38,550,2,1,1709,49,2364,32
8,104,548,114,5,25,1542,2,1,1953,35,750,1
41,175,2395,202,5,33,1249,2,1,2249,25,1791,2
54,272,3126,377,1,37,1383,2,1,888,29,898,17
5,468,328,278,1,28,1701,1,0,231,40,2415,33
15,36,776,490,6,40,9,2,1,2156,30,4394,48
46,487,2855,283,1,36,1146,2,0,354,15,4192,45
3,429,292,1043,5,33,833,1,1,1587,28,4631,53
3,57,169,879,5,37,737,1,1,2473,48,2273,21
39,10,2116,370,5,36,880,2,1,1102,44,1079,10
40,96,2353,731,5,25,1638,1,0,1433,2,61,2
33,161,1615,781,1,35,1124,1,1,2728,9,4183,44
6,380,502,81,5,25,1753,2,0,1333,30,1506,34
16,362,1017,927,6,40,4,2,1,1990,29,2714,27
54,392,3220,585,5,35,1161,2,1,1982,46,2685,17
39,30,2247,77,1,21,1820,2,0,776,30,2973,50
29,219,1340,665,1,36,1294,2,1,888,29,2886,19
15,36,777,324,5,39,692,2,1,2816,10,2848,31
5,557,445,702,1,37,1249,1,1,1501,44,2319,22
37,303,1789,230,1,30,1814,2,1,1210,38,1137,7
5,473,400,742,5,36,956,1,1,2845,43,2530,15
45,84,2672,703,5,37,889,1,1,1969,7,3620,37
26,445,1277,398,5,39,277,2,1,2803,44,1803,14
55,174,3381,104,5,17,1806,2,0,453,2,547,47
40,142,2362,332,5,25,1732,1,0,1638,29,1906,21
8,105,580,506,5,40,3,2,1,952,7,4692,63
53,576,2934,107,5,27,1361,2,0,66,2,217,63
8,118,660,155,1,25,1460,2,1,1098,5,2198,14
54,400,3272,532,5,39,528,2,1,2888,0,4039,50
3,63,235,1110,1,38,603,1,1,2693,15,1191,0
16,229,875,421,5,36,623,2,1,2884,7,2638,21
38,83,1926,297,1,34,1503,2,0,295,29,1768,43
30,373,1400,799,6,35,1026,1,1,2728,46,3424,26
38,193,2000,819,2,40,25,1,1,962,2,2443,27
5,472,382,352,5,28,1383,1,1,1469,7,3311,35
20,594,1164,383,5,39,179,2,1,2597,42,2061,32
54,479,3296,100,1,24,1821,2,0,209,29,3201,32
20,506,1147,551,1,37,1063,2,1,1023,38,1563,0
1,494,38,1036,1,40,100,1,1,904,43,1998,12
8,100,668,375,5,38,292,2,1,2766,7,2859,21
49,385,2903,158,5,23,1808,1,1,2444,7,266,30
54,272,3075,210,5,29,1477,2,1,2257,46,680,61
37,374,1827,454,1,26,1694,2,1,2555,41,4445,53
5,561,468,570,1,29,1859,1,0,501,3,1903,63
54,272,3034,152,1,25,1925,2,0,1659,26,1257,41
33,169,1658,615,5,28,1424,1,1,2255,29,2250,46
8,92,526,278,1,36,1100,2,1,886,38,679,12
39,28,2236,136,1,31,1651,2,1,1722,28,2657,35
8,574,708,47,5,21,2043,2,0,465,0,377,4
39,0,2094,0,5,17,2068,2,0,468,7,575,8
39,31,2253,59,5,24,1737,2,0,1284,7,118,0
15,36,769,260,5,38,850,2,1,2245,7,3255,34
41,370,2523,72,1,23,1820,2,0,642,36,1195,29
33,154,1555,715,1,37,1408,2,1,1979,44,425,24
5,468,314,182,1,26,1914,2,0,12,29,3158,52
7,551,514,90,1,25,1846,1,1,2616,17,2652,27
38,582,2088,105,1,27,1834,1,0,399,24,4759,59
3,505,309,958,5,36,896,1,1,1525,29,3038,43
55,566,3446,1088,1,39,87,1,1,948,35,3530,42
26,139,1256,485,1,38,316,2,1,2619,31,1519,0
38,83,1899,107,1,28,1801,2,0,10,29,366,19
0,38,9,429,5,31,860,1,1,2473,29,4469,49
45,299,2703,395,5,39,333,2,1,2734,7,4277,53
54,272,3034,109,1,24,1940,2,0,437,18,1581,33
37,303,1790,397,1,36,812,2,1,922,16,1387,6
5,473,407,995,5,34,1430,1,1,1361,7,1169,6
39,37,2269,847,5,40,26,2,1,2501,28,4603,52
26,377,1264,567,6,39,726,1,1,1731,29,3879,50
38,302,1890,195,1,33,1690,2,0,465,1,123,48
8,277,672,108,1,29,1899,1,0,501,29,3623,31
16,324,991,572,1,37,689,2,1,2130,7,4629,60
33,158,1577,326,1,31,1940,1,0,1623,38,2620,28
45,75,2654,142,5,30,1713,2,0,748,1,1378,63
5,559,314,218,1,25,1895,2,0,1443,44,384,51
5,181,315,61,1,23,2017,2,0,303,48,4889,59
45,299,2741,214,1,33,1557,2,1,2473,44,4328,44
5,181,315,86,1,22,1930,2,0,468,23,2081,9
4,185,312,1029,5,24,1166,1,1,2137,19,4319,59
3,415,283,1100,1,36,1701,1,1,1540,4,3228,36
3,56,69,585,1,38,714,2,1,2468,41,1062,15
5,557,437,600,1,35,898,1,1,2473,48,3325,42
5,468,327,183,1,26,1904,2,0,379,7,632,12
54,400,3274,576,5,40,0,2,1,2284,43,2475,35
48,446,2888,220,1,33,1545,2,1,2843,29,4233,63
8,113,641,595,5,39,242,2,1,1023,7,2019,11
55,566,3451,231,1,24,1985,2,0,167,1,1578,16
55,451,3383,114,1,25,1844,2,1,1998,31,1498,26
39,26,2195,23,1,22,1865,2,0,393,44,4774,57
54,464,3289,600,5,31,1540,2,1,2601,26,2059,47
54,392,3193,114,1,25,1963,2,0,111,21,2951,23
38,582,1890,59,1,23,1985,2,0,394,30,1792,52
8,278,685,765,1,39,1,2,1,2514,44,4188,41
37,303,1799,402,5,37,1050,2,1,1966,7,306,3
38,543,1890,76,1,26,1545,2,0,718,18,398,27
53,86,2947,454,6,36,1345,1,1,2887,29,2778,60
26,492,1297,338,1,31,1477,2,1,2797,29,3481,30
41,175,2419,504,1,39,271,2,1,1461,28,529,13
41,318,2502,259,2,37,684,1,1,2377,25,4722,55
38,200,2003,519,5,39,338,2,1,1014,44,4767,54
8,106,564,517,5,40,350,2,1,2110,43,1214,1
39,42,2280,336,1,32,1682,2,1,2779,15,966,40
33,169,1457,283,1,27,2088,1,0,1403,35,3361,35
3,59,190,1035,5,40,161,1,1,1124,7,1941,4
20,596,1181,148,1,29,1365,2,0,451,32,996,10
54,400,3267,210,5,35,1320,2,1,2003,41,915,11
15,465,841,296,1,31,1753,2,1,2425,29,2430,10
8,277,684,439,1,35,1572,1,1,2658,19,4309,48
45,299,2699,394,5,38,799,2,1,2886,29,914,9
55,117,3376,278,5,20,1224,2,0,74,31,1860,62
5,473,395,952,1,39,381,1,1,2177,18,3897,35
37,417,1840,504,1,37,682,2,0,1283,29,3090,22
33,161,1613,837,5,39,227,1,1,1027,43,3916,58
54,138,3060,779,1,41,1391,2,1,927,29,3217,47
5,472,357,77,5,13,1971,0,0,1652,29,2147,23
38,361,2057,373,1,36,1539,2,1,1528,29,2923,29
54,400,3243,50,5,22,1784,2,0,90,2,1743,2
38,583,2090,383,1,33,1071,2,1,2473,44,4012,37
16,524,861,165,1,26,2084,2,0,1799,13,3996,51
37,394,1778,196,1,26,1939,2,0,712,25,2353,49
8,116,657,963,7,40,29,1,1,2621,8,2917,21
3,57,151,727,5,39,968,1,1,2839,0,1413,5
33,167,1642,731,1,32,1808,1,0,616,46,727,49
38,582,2084,39,1,21,1852,2,0,571,30,1150,17
16,229,879,402,1,37,670,2,1,1222,29,2843,32
55,451,3384,56,5,21,1690,2,1,1839,1,4775,58
37,356,1812,77,5,25,1717,2,1,1239,6,4107,44
38,583,2089,421,1,35,985,2,1,906,7,2248,30
38,252,2006,148,1,21,1753,2,0,718,42,373,6
54,91,3039,454,5,35,756,2,1,1064,29,2771,26
33,158,1593,1040,1,40,191,1,1,1602,38,1646,3
39,10,2107,800,1,40,1,1,1,2816,10,4104,43
3,56,82,893,5,39,508,1,1,2469,30,2633,24
46,498,2857,260,5,30,1545,2,1,1149,18,3685,30
3,57,175,797,1,37,1087,1,1,2687,38,3827,52
8,213,669,95,1,30,1976,2,0,29,29,1938,38
33,161,1613,819,5,39,505,1,1,2360,36,3251,26
3,57,42,176,5,23,1311,2,0,612,15,160,34
5,181,314,50,1,22,1735,2,0,1819,6,1526,59
55,454,3393,903,1,38,726,1,1,1707,7,2537,23
53,441,3014,612,6,37,1249,1,1,806,38,977,2
38,191,1957,148,5,30,1330,2,0,1480,44,707,0
20,506,1142,616,1,36,1060,1,1,833,31,4616,49
28,368,1328,103,5,26,1638,1,0,536,23,1604,11
35,342,1735,237,5,29,1674,2,1,1183,17,638,0
16,243,889,494,5,39,337,2,1,2608,7,4801,57
42,187,2623,1136,5,11,874,1,1,1268,29,4915,63
39,27,2204,39,1,22,2009,2,0,550,29,3579,36
54,392,3218,557,1,35,1320,2,1,1211,23,2903,20
0,36,4,656,5,40,9,2,1,2833,7,4563,57
5,468,331,792,5,39,154,1,1,2423,2,4572,55
33,172,1673,1115,1,39,248,1,1,1029,40,4050,40
38,83,1890,109,5,29,1446,2,0,1336,7,55,11
15,408,838,39,1,24,1840,2,1,1207,29,2057,51
45,338,2637,109,1,26,1717,2,0,1804,31,2518,32
3,413,270,907,1,37,974,1,1,939,48,2908,27
39,14,2151,208,5,33,1682,2,1,811,46,939,11
54,272,3034,148,1,22,1978,2,0,1403,0,298,27
53,441,3010,409,1,36,1872,2,1,1150,5,3338,32
29,435,1351,1000,6,39,425,1,0,1624,29,3700,58
3,57,138,199,1,27,1799,2,0,1492,48,2082,60
38,191,1979,284,5,37,830,2,1,2900,44,2738,24
53,135,2974,875,6,39,0,1,1,2785,20,2483,12
55,566,3376,244,1,24,1843,1,0,509,46,2037,9
15,221,800,149,1,33,1694,2,1,2588,13,2791,26
20,506,1141,643,1,36,1052,2,0,1911,7,731,55
16,247,933,457,1,37,1100,2,0,16,29,1284,14
3,60,216,585,1,36,1726,1,1,1708,7,2929,46
54,366,3189,439,1,26,1956,1,0,568,30,732,16
3,61,224,59,1,24,2001,2,0,605,30,1245,20
15,408,833,146,1,32,1383,2,1,2168,25,985,7
39,42,2276,405,1,34,1408,2,0,468,29,1389,9
8,100,665,477,1,40,0,2,1,2050,1,1111,10
3,59,187,651,5,32,1430,1,0,54,44,22,5
8,575,713,119,1,27,1282,2,0,1874,29,1213,5
5,558,446,888,1,39,427,1,1,2101,7,4882,58
16,324,994,485,5,33,763,1,1,2403,31,4737,57
30,373,1398,860,6,37,1307,1,1,2076,17,1002,2
5,472,361,570,1,35,1485,2,1,2186,29,1261,35
6,136,489,210,1,27,1638,2,0,61,7,1562,47
38,582,2086,77,1,26,2031,2,0,177,43,4555,63
46,577,2864,159,5,30,1794,2,1,1729,7,4923,63
40,344,2367,1072,1,36,726,1,1,2048,5,4092,59
54,392,3209,643,1,36,1178,1,1,1166,48,1972,16
33,150,1489,671,1,35,1350,1,1,2755,0,3351,26
30,123,1387,585,6,36,1007,1,1,2266,38,3102,48
54,272,3069,296,5,26,1784,1,0,467,43,926,9
54,519,3034,114,1,23,2048,2,0,492,46,3196,61
5,557,437,671,1,36,1469,2,1,1145,45,3445,45
41,584,2619,502,2,37,792,1,1,2588,13,4928,60
5,472,358,552,1,34,1000,2,1,2473,29,4483,50
1,494,37,967,1,39,327,1,1,1181,23,1963,5
33,152,1530,758,1,36,1289,2,1,2368,44,1736,18
3,413,274,1063,1,38,612,1,1,1966,7,1850,43
45,338,2774,120,1,26,1927,2,1,1234,17,3708,31
33,167,1641,338,1,26,1899,1,1,2646,29,447,14
23,215,1205,202,1,24,1875,2,0,459,45,1121,37
41,428,2591,14,1,5,1568,2,0,1491,47,2960,39
54,272,3128,100,5,14,1799,2,0,247,46,106,1
54,400,3271,831,5,40,136,1,1,1979,44,2316,46
8,308,692,558,1,34,1193,2,1,809,31,1708,2
53,135,2974,844,6,39,168,1,1,2770,7,886,0
8,100,668,329,5,39,769,2,1,2504,0,4578,57
54,519,3346,196,1,27,1702,2,0,1418,38,1317,1
45,299,2694,224,1,34,1690,2,0,426,7,2220,17
15,36,772,300,5,38,415,2,1,2479,2,854,10
20,322,1119,583,5,40,122,2,1,2137,19,3480,33
21,412,1194,555,5,37,683,2,1,1982,46,3663,34
55,564,3438,352,1,29,1783,2,1,2826,7,1874,44
41,466,2597,243,5,34,1465,2,1,1272,44,3680,44
38,83,1927,59,5,24,1735,2,0,280,7,1396,35
32,352,1452,53,5,23,1717,2,0,297,7,737,7
54,392,3207,646,1,38,303,2,1,1702,17,3274,36
41,331,2512,65,1,25,1869,2,0,564,14,409,34
33,152,1534,701,5,35,726,1,1,2542,28,4351,50
38,361,2051,602,5,39,296,2,1,2774,38,3006,31
39,21,2183,807,1,38,545,2,0,1647,25,3799,39
0,36,2,424,5,36,1134,2,1,1728,44,4481,47
33,161,1613,809,5,38,399,1,1,2606,40,665,27
45,338,2751,473,5,38,832,2,0,659,7,3230,58
16,243,896,191,5,33,1249,2,1,2371,6,2480,15
33,152,1543,810,1,36,1496,1,1,1277,29,3347,31
31,421,1412,1104,5,33,1134,1,1,1221,31,2123,8
